,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Platysace,1,NA,130.8335,NA,64.84636,NA,NA,49.81987,84.18093,Apiales,Apiaceae,Platysace
Podophylloideae,1,NA,124.95289,NA,64.25402,NA,NA,38.78561,91.76042,Ranunculales,Berberidaceae,Podophylloideae
Polycarpeae,2,67.49963,106.74593,45.07016,78.87521,26.11233,67.09233,63.82618,94.8517,Caryophyllales,Caryophyllaceae,Polycarpeae
Polycnemoideae,2,64.68876,102.86889,41.17262,71.30955,17.43142,63.08096,51.34357,92.04455,Caryophyllales,Amaranthaceae,Polycnemoideae
Polygaleae,1,NA,76.99368,NA,50.9114,NA,NA,24.7215,78.0132,Fabales,Polygalaceae,Polygaleae
Polygonoideae,1,NA,85.25121,NA,43.0736,NA,NA,18.38025,62.79967,Caryophyllales,Polygonaceae,Polygonoideae
Pooideae,2,52.5534,62.06854,43.74178,59.21321,23.49378,62.75754,42.03177,74.03558,Poales,Poaceae,Pooideae
Potalieae,1,NA,89.47323,NA,38.54185,NA,NA,22.09036,56.98819,Gentianales,Gentianaceae,Potalieae
Pothoideae,2,75.26179,91.71251,41.91895,59.37489,21.97198,61.9635,39.85108,79.22842,Alismatales,Araceae,Pothoideae
Premnoideae,2,115.43714,124.55859,36.00685,45.4195,17.71792,52.93498,31.70278,60.30914,Lamiales,Lamiaceae,Premnoideae
Primuloideae,2,89.76581,101.49566,46.73206,60.15409,26.41457,65.03955,38.1249,82.60233,Ericales,Primulaceae,Primuloideae
Prostantheroideae,2,96.09398,129.39878,33.06955,50.01708,17.96554,49.65346,32.40576,64.91101,Lamiales,Lamiaceae,Prostantheroideae
Proteoideae,1,NA,89.14223,NA,51.20313,NA,NA,26.45043,76.89951,Proteales,Proteaceae,Proteoideae
Psiloxyloideae,2,49.78279,98.94813,25.38833,52.5969,8.98448,43.89867,23.911,75.37598,Myrtales,Myrtaceae,Psiloxyloideae
Puelioideae,2,62.78302,73.24393,53.62894,78.53325,23.29138,78.13482,71.41023,86.55421,Poales,Poaceae,Puelioideae
Puyoideae,2,17.75034,18.03978,7.99636,9.66023,2.57904,13.48146,4.63458,15.14654,Poales,Bromeliaceae,Puyoideae
Pyroloideae,2,61.56723,140.53112,35.17571,70.12765,16.1878,52.17357,55.83942,84.77745,Ericales,Ericaceae,Pyroloideae
