,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Myricaceae,2,61.88546,89.81348,38.41841,76.46367,9.22205,67.87053,68.35419,86.50044,Fagales,Myricaceae,NA
Myristicaceae,2,21.44432,158.52573,23.55008,130.15814,7.48322,45.00121,117.82273,142.5588,Magnoliales,Myristicaceae,NA
Myrothamnaceae,2,5.90188,129.21137,5.37246,97.52517,0.77494,12.08692,53.94628,134.77737,Gunnerales,Myrothamnaceae,NA
Myrtaceae,4,56.54673,99.63487,39.86325,72.68877,20.38549,62.34576,44.53279,98.1345,Myrtales,Myrtaceae,NA
Mystropetalaceae,2,127.39853,133.98339,74.50633,96.83377,50.4752,97.18797,86.38953,106.13789,Santalales,Mystropetalaceae,NA
Namaceae,2,73.65958,90.10758,30.84441,44.99934,13.76976,49.56912,30.08573,59.94842,Boraginales,Namaceae,NA
Nartheciaceae,2,53.51234,143.29329,47.89982,113.1528,9.27159,84.86285,98.66901,125.76373,Dioscoreales,Nartheciaceae,NA
Nelumbonaceae,2,13.14,145.24286,10.22165,133.6677,1.96349,21.72146,118.81899,145.93448,Proteales,Nelumbonaceae,NA
Nepenthaceae,2,23.44178,108.56713,17.12321,78.82194,1.9757,36.36749,55.22948,104.48598,Caryophyllales,Nepenthaceae,NA
Neuradaceae,2,15.73332,133.63845,17.98157,91.91963,2.87946,42.16953,79.52566,105.44648,Malvales,Neuradaceae,NA
Nitrariaceae,2,29.21965,86.48032,24.51728,59.56601,5.82634,42.91181,38.61663,78.61545,Sapindales,Nitrariaceae,NA
Nothofagaceae,2,33.52144,131.91424,24.91159,103.13538,4.30991,51.4384,90.28081,113.69848,Fagales,Nothofagaceae,NA
Nyctaginaceae,2,56.7604,64.98086,23.3303,32.12778,10.57394,34.62694,20.23642,42.61654,Caryophyllales,Nyctaginaceae,NA
Nymphaeaceae,3,NA,NA,NA,NA,NA,NA,NA,NA,Nymphaeales,Nymphaeaceae,NA
Nyssaceae,2,111.18425,131.7427,44.80562,71.30872,16.7769,73.29385,54.7126,96.91558,Cornales,Nyssaceae,NA
Ochnaceae,3,78.19403,133.4781,41.31224,84.01999,21.46759,63.41807,65.71623,100.35947,Malpighiales,Ochnaceae,NA
Octoknemaceae,1,NA,147.99608,NA,121.22413,NA,NA,112.10005,130.65425,Santalales,Octoknemaceae,NA
Olacaceae,2,101.92514,145.27482,69.07156,113.8872,37.67359,97.55907,96.93753,128.00909,Santalales,Olacaceae,NA
Oleaceae,3,81.89472,96.13072,32.98417,44.14346,14.58406,52.51081,22.81226,69.82046,Lamiales,Oleaceae,NA
Onagraceae,2,72.21707,86.57934,44.10723,61.19796,24.1063,64.97796,37.28278,84.9097,Myrtales,Onagraceae,NA
Oncothecaceae,2,6.9369,140.77951,2.84703,104.31225,0.28865,6.82353,78.54295,120.79061,Icacinales,Oncothecaceae,NA
Opiliaceae,2,53.58773,135.29748,39.33588,95.67179,14.26111,67.27676,74.48806,113.53025,Santalales,Opiliaceae,NA
Orchidaceae,10,96.92147,142.94445,96.19453,123.02111,75.72252,115.16001,112.85969,132.64383,Asparagales,Orchidaceae,NA
Orobanchaceae,15,108.15006,111.36835,51.00089,54.10236,43.91306,58.2346,46.6784,60.8256,Lamiales,Orobanchaceae,NA
Oxalidaceae,2,63.46766,73.66567,35.47636,50.76696,15.59283,57.6861,32.54124,73.93204,Oxalidales,Oxalidaceae,NA
