,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Asphodelaceae,3,85.19045,97.3441,55.2641,71.0501,41.77643,67.16639,59.44329,81.04475,Asparagales,Asphodelaceae,NA
Asteliaceae,2,73.90728,101.34924,40.27212,62.17515,23.20336,61.28923,40.90332,87.20488,Asparagales,Asteliaceae,NA
Asteraceae,22,71.41721,78.22657,58.88919,74.77129,47.47364,71.07482,72.09019,80.15813,Asterales,Asteraceae,NA
Asteropeiaceae,1,NA,72.96352,NA,56.11984,NA,NA,23.40842,99.54465,Caryophyllales,Asteropeiaceae,NA
Atherospermataceae,2,76.01149,108.81891,39.44049,74.62193,14.94545,71.34453,43.9017,105.56446,Laurales,Atherospermataceae,NA
Austrobaileyaceae,1,NA,130.18034,NA,134.05831,NA,NA,121.96448,147.70872,Austrobaileyales,Austrobaileyaceae,NA
Balanopaceae,2,31.40391,115.08391,22.56121,98.89259,3.24849,47.86536,84.67593,112.81964,Malpighiales,Balanopaceae,NA
Balanophoraceae,2,120.9053,133.21038,89.53792,94.08184,77.41223,101.55987,83.25603,105.72166,Santalales,Balanophoraceae,NA
Balsaminaceae,1,NA,70.46564,NA,53.94736,NA,NA,28.75916,89.8888,Ericales,Balsaminaceae,NA
Barbeuiaceae,1,NA,92.27576,NA,87.67482,NA,NA,80.98636,94.27942,Caryophyllales,Barbeuiaceae,NA
Barbeyaceae,1,NA,109.5577,NA,90.95845,NA,NA,73.32644,105.90587,Rosales,Barbeyaceae,NA
Basellaceae,2,41.77119,68.53075,24.56395,44.82455,7.60242,43.14056,28.89438,60.30876,Caryophyllales,Basellaceae,NA
Bataceae,1,NA,44.05017,NA,29.67154,NA,NA,17.32272,44.27205,Brassicales,Bataceae,NA
Begoniaceae,2,44.06893,113.27067,24.59648,61.36209,7.5955,41.39581,39.52288,85.36146,Cucurbitales,Begoniaceae,NA
Berberidaceae,3,90.46783,117.67279,67.90927,101.20967,37.28992,91.06877,87.27549,117.74076,Ranunculales,Berberidaceae,NA
Berberidopsidaceae,2,90.91822,97.42491,30.30797,37.8844,5.22792,63.17039,10.08355,76.874,Berberidopsidales,Berberidopsidaceae,NA
Betulaceae,2,60.82763,83.6,69.23556,86.59932,56.00322,81.49189,83.6005,92.43832,Fagales,Betulaceae,NA
Biebersteiniaceae,2,35.08969,96.34372,27.75393,82.05481,6.74934,55.15079,57.40215,104.07686,Sapindales,Biebersteiniaceae,NA
Bignoniaceae,2,93.64371,105.65838,45.78679,52.22921,38.40034,57.90603,41.45664,64.01742,Lamiales,Bignoniaceae,NA
Bixaceae,2,96.30747,112.81038,55.82043,74.95791,30.99551,82.65127,50.08754,96.60378,Malvales,Bixaceae,NA
Blandfordiaceae,2,25.29484,118.18266,17.78199,80.24814,2.54093,45.6195,55.02528,104.05144,Asparagales,Blandfordiaceae,NA
Bonnetiaceae,2,67.72224,112.25796,47.75698,91.46526,28.79204,71.76717,80.32907,103.95224,Malpighiales,Bonnetiaceae,NA
Boraginaceae,2,38.86819,63.55528,31.06632,51.30391,17.2496,45.22374,32.76664,70.90858,Boraginales,Boraginaceae,NA
Boryaceae,2,66.08136,128.09734,37.51342,95.19516,12.965,69.45326,69.50398,120.44308,Asparagales,Boryaceae,NA
Brassicaceae,8,35.25563,53.75826,36.31706,47.04707,24.31932,46.18658,34.80514,58.15912,Brassicales,Brassicaceae,NA
Bromeliaceae,16,46.03809,131.97689,47.51127,106.11644,41.20007,59.90567,75.2596,123.76354,Poales,Bromeliaceae,NA
Brunelliaceae,2,12.80747,95.6255,10.53123,85.43283,1.11212,26.85353,72.15089,100.80491,Oxalidales,Brunelliaceae,NA
Bruniaceae,2,108.64999,138.23253,65.45816,111.93963,22.18522,103.38842,101.93166,120.91623,Bruniales,Bruniaceae,NA
Burmanniaceae,2,72.34903,143.6982,61.14899,121.11071,32.41602,96.22597,108.57947,132.23687,Dioscoreales,Burmanniaceae,NA
Burseraceae,2,57.88309,85.48655,60.21834,81.4972,47.8003,78.11649,72.10058,95.05536,Sapindales,Burseraceae,NA
Butomaceae,1,NA,94.30974,NA,91.10774,NA,NA,72.09322,108.50126,Alismatales,Butomaceae,NA
Buxaceae,2,115.62056,151.76955,96.77077,145.71179,66.45149,128.12868,143.96967,147.48183,Buxales,Buxaceae,NA
Byblidaceae,2,57.1748,116.03209,47.80586,70.3836,41.20034,56.24889,58.56304,81.52888,Lamiales,Byblidaceae,NA
Cabombaceae,2,65.05506,109.21762,61.26159,109.39737,24.5646,100.57438,100.50684,117.36577,Nymphaeales,Cabombaceae,NA
Cactaceae,2,45.25025,61.5134,18.78947,32.46421,6.53621,31.31845,21.40904,42.50141,Caryophyllales,Cactaceae,NA
Calceolariaceae,2,40.04398,111.26928,27.28769,69.75873,7.09073,48.55811,48.50729,87.05173,Lamiales,Calceolariaceae,NA
Calophyllaceae,2,93.07807,109.93157,56.05704,85.14067,24.78151,83.80418,70.35459,98.87757,Malpighiales,Calophyllaceae,NA
Calycanthaceae,3,99.1441,136.10674,101.98173,128.87507,91.79919,113.86271,119.77506,137.43866,Laurales,Calycanthaceae,NA
Calyceraceae,2,33.75255,78.22657,26.70864,74.77129,5.29928,52.89782,72.09019,80.15813,Asterales,Calyceraceae,NA
Campanulaceae,10,88.4109,124.14755,74.74142,98.43582,55.03179,93.30557,87.40109,110.51616,Asterales,Campanulaceae,NA
Campynemataceae,2,110.98228,134.40236,54.42485,87.7747,15.38253,82.41237,64.36888,115.60655,Liliales,Campynemataceae,NA
Canellaceae,2,50.05797,125.10227,47.29675,129.73143,15.47788,97.65584,125.00041,137.04598,Canellales,Canellaceae,NA
Cannabaceae,2,78.99266,90.78652,77.96565,89.9355,66.04081,89.57653,78.34187,99.27136,Rosales,Cannabaceae,NA
Cannaceae,2,9.59447,76.85153,10.96446,62.0529,1.75857,26.61686,42.15137,85.59932,Zingiberales,Cannaceae,NA
Capparaceae,2,51.75023,60.94002,36.22862,53.307,16.11371,56.2623,42.66256,64.75508,Brassicales,Capparaceae,NA
Caprifoliaceae,8,76.08459,122.13054,59.75718,83.84281,45.89978,77.77636,66.81901,102.62619,Dipsacales,Caprifoliaceae,NA
Cardiopteridaceae,2,98.6453,118.10063,55.96672,82.75845,14.75179,89.24991,50.73416,108.59416,Aquifoliales,Cardiopteridaceae,NA
Caricaceae,2,39.55677,105.8768,28.30146,71.80693,7.49376,52.38043,41.4718,100.58899,Brassicales,Caricaceae,NA
Carlemanniaceae,2,47.98672,95.70855,23.11129,62.23087,4.68608,45.57791,41.55066,86.38272,Lamiales,Carlemanniaceae,NA
Caryocaraceae,2,28.19632,134.9146,26.41549,96.30339,5.58644,50.33424,69.11526,114.87384,Malpighiales,Caryocaraceae,NA
Caryophyllaceae,12,83.1621,99.97381,83.39392,96.88701,68.07,96.89448,83.00873,106.59944,Caryophyllales,Caryophyllaceae,NA
Casuarinaceae,2,33.81944,89.31971,29.11217,91.06684,5.67652,61.61367,84.81912,98.80282,Fagales,Casuarinaceae,NA
Celastraceae,4,94.20072,117.49609,79.41487,101.57847,54.84975,99.45968,78.23738,119.64679,Celastrales,Celastraceae,NA
Centroplacaceae,2,117.21361,141.44209,77.74711,113.01146,44.9485,109.6197,103.21046,121.57414,Malpighiales,Centroplacaceae,NA
Cephalotaceae,1,NA,94.63016,NA,86.1344,NA,NA,80.70082,94.5267,Oxalidales,Cephalotaceae,NA
Ceratophyllaceae,2,11.15733,152.98005,20.28791,150.05916,3.6639,43.65989,148.89545,151.25349,Ceratophyllales,Ceratophyllaceae,NA
Cercidiphyllaceae,2,30.97689,118.39504,6.00316,86.81997,1.083,13.69808,56.59805,108.77614,Saxifragales,Cercidiphyllaceae,NA
Chloranthaceae,2,123,152.57005,128.94668,148.36061,123.00586,136.51604,146.35243,150.16732,Chloranthales,Chloranthaceae,NA
Chrysobalanaceae,2,48.69344,83.20599,54.38245,70.95698,48.50073,62.62777,59.29015,85.63904,Malpighiales,Chrysobalanaceae,NA
Circaeasteraceae,2,74.01375,128.45607,52.47953,108.34064,16.41492,81.80344,88.2788,129.20666,Ranunculales,Circaeasteraceae,NA
Cistaceae,2,50.18797,69.27207,31.32576,53.6528,12.58452,53.82466,33.60788,72.19244,Malvales,Cistaceae,NA
Cleomaceae,2,47.73526,53.75826,33.10743,47.04707,11.39639,47.04918,34.80514,58.15912,Brassicales,Cleomaceae,NA
Clethraceae,2,110.4667,124.36258,73.41798,100.80339,38.1023,99.78796,94.77339,107.73742,Ericales,Clethraceae,NA
Clusiaceae,2,42.58013,113.01159,53.06987,94.83973,41.33515,70.02183,86.30041,104.38205,Malpighiales,Clusiaceae,NA
Codonaceae,2,11.70024,84.90216,8.82821,67.8183,1.23334,19.63898,46.0778,94.15206,Boraginales,Codonaceae,NA
Colchicaceae,2,53.2375,95.37939,35.5063,65.77388,16.57796,58.63985,38.62436,89.46361,Liliales,Colchicaceae,NA
Coldeniaceae,1,NA,68.84978,NA,38.92196,NA,NA,17.66625,55.80948,Boraginales,Coldeniaceae,NA
Columelliaceae,2,82.61497,129.54974,47.80684,95.33548,23.97111,80.94803,80.74205,109.32736,Bruniales,Columelliaceae,NA
Combretaceae,2,54.06174,118.39263,33.9529,112.39902,8.5117,66.58761,97.61266,124.58027,Myrtales,Combretaceae,NA
Commelinaceae,3,80.35979,111.42315,62.3435,89.80111,36.60188,83.48019,71.68709,104.82656,Commelinales,Commelinaceae,NA
Connaraceae,2,37.80269,75.33135,32.05137,62.51162,10.76704,59.25744,36.22155,84.82995,Oxalidales,Connaraceae,NA
Convolvulaceae,6,88.42164,122.24563,68.8805,90.42569,54.10784,85.44898,72.85626,108.21536,Solanales,Convolvulaceae,NA
