,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Convolvulaceae,6,88.08315,125.07783,64.93944,86.79628,49.35392,76.56191,68.90259,102.21757,Solanales,Convolvulaceae,NA
Cordiaceae,2,59.87899,71.1967,33.81725,43.97685,23.03496,46.75264,29.77848,57.02286,Boraginales,Cordiaceae,NA
Coriariaceae,2,17.05944,111.74347,15.0747,62.7419,3.14949,30.56798,29.64356,93.65381,Cucurbitales,Coriariaceae,NA
Cornaceae,2,105.88302,132.39083,75.81596,102.80547,56.00114,99.68578,84.98167,122.62956,Cornales,Cornaceae,NA
Corsiaceae,2,127.02581,135.63682,76.41874,98.50489,52.21485,105.53291,72.54575,124.65213,Liliales,Corsiaceae,NA
Corynocarpaceae,2,18.23107,111.74347,22.90018,62.7419,15.97446,38.01371,29.64356,93.65381,Cucurbitales,Corynocarpaceae,NA
Costaceae,2,31.68533,82.00628,31.05757,74.40145,12.82024,52.64842,66.00418,87.26456,Zingiberales,Costaceae,NA
Coulaceae,2,29.00461,147.24692,20.40676,122.72793,3.77483,46.66062,113.71038,131.02773,Santalales,Coulaceae,NA
Crassulaceae,3,66.66749,126.40007,58.27849,105.93931,26.23104,88.3888,93.43165,120.59644,Saxifragales,Crassulaceae,NA
Crossosomataceae,2,45.76438,85.75769,25.80457,49.36688,10.11002,44.23418,26.98946,70.42204,Crossosomatales,Crossosomataceae,NA
Crypteroniaceae,2,30.13466,51.06614,28.72881,52.46084,12.46023,46.16767,31.19164,73.27399,Myrtales,Crypteroniaceae,NA
Ctenolophonaceae,2,9.17569,133.25395,9.33285,96.61156,1.58139,21.49528,82.44329,110.08263,Malpighiales,Ctenolophonaceae,NA
Cucurbitaceae,5,61.46486,134.72303,47.99408,90.98176,28.79383,75.80893,71.66719,111.92508,Cucurbitales,Cucurbitaceae,NA
Cunoniaceae,2,75.50017,93.2549,73.84624,86.90477,63.49241,84.97119,80.70037,96.6943,Oxalidales,Cunoniaceae,NA
Cupressaceae,1,NA,199.44478,NA,79.23109,NA,NA,49.47235,112.01982,Pinales,Cupressaceae,NA
Curtisiaceae,1,NA,93.98259,NA,67.01039,NA,NA,35.9318,96.92699,Cornales,Curtisiaceae,NA
Cycadaceae,1,NA,301.12849,NA,173.71429,NA,NA,112.67849,243.81264,Cycadales,Cycadaceae,NA
Cyclanthaceae,2,103.90586,115.68377,60.03135,76.24853,47.0008,79.55436,56.52074,99.8772,Pandanales,Cyclanthaceae,NA
Cymodoceaceae,2,56.54243,62.92092,47.63555,63.10911,28.51428,65.93195,50.17918,76.57076,Alismatales,Cymodoceaceae,NA
Cynomoriaceae,2,12.82706,136.24176,26.12891,106.2265,8.07334,44.97945,85.59733,124.75856,Saxifragales,Cynomoriaceae,NA
Cyperaceae,4,62.05885,86.34163,60.61599,84.73802,47.08989,77.36536,68.02981,106.40148,Poales,Cyperaceae,NA
Cyrillaceae,2,31.62274,121.48894,16.19101,96.41262,3.216,38.17009,87.32982,106.62055,Ericales,Cyrillaceae,NA
